SNP_ID	SNP_newID	chromosome	position	cM						
S_13872274	M164	1	13872274	27.8						
S_13962471	M165	1	13962471	28						
S_14052668	M166	1	14052668	28.2						
S_14142864	M167	1	14142864	28.4						
S_14233061	M168	1	14233061	28.6						
S_14323258	M169	1	14323258	28.8						
S_14413455	M170	1	14413455	29						
S_14503652	M171	1	14503652	29.2						
S_14593849	M172	1	14593849	29.4						
S_14799189	M173	1	14799189	29.6						
S_15004541	M174	1	15004541	29.8						
S_15095216	M175	1	15095216	30						
S_15185892	M176	1	15185892	30.2						
S_15276567	M177	1	15276567	30.4						
S_15367242	M178	1	15367242	30.6						
S_15457918	M179	1	15457918	30.8						
S_15548593	M180	1	15548593	31						
S_15639269	M181	1	15639269	31.2						
S_15729944	M182	1	15729944	31.4						
S_15832862	M183	1	15832862	31.6						
S_15948021	M184	1	15948021	31.8						
S_16063180	M185	1	16063180	32						
S_16178339	M186	1	16178339	32.2						
S_16293498	M187	1	16293498	32.4						
S_16408657	M188	1	16408657	32.6						
S_16523816	M189	1	16523816	32.8						
S_16716338	M190	1	16716338	33						
S_16986221	M191	1	16986221	33.2						
S_17256105	M192	1	17256105	33.4						
S_17525988	M193	1	17525988	33.6						
S_17686844	M194	1	17686844	33.8						
S_17726537	M195	1	17726537	34						
S_17852723	M196	1	17852723	34.2						
S_18065404	M197	1	18065404	34.4						
S_18278085	M198	1	18278085	34.6						
S_18490765	M199	1	18490765	34.8						
S_18703446	M200	1	18703446	35						
S_18916127	M201	1	18916127	35.2						
S_19128807	M202	1	19128807	35.4						
S_19341488	M203	1	19341488	35.6						
S_19554169	M204	1	19554169	35.8						
S_19766850	M205	1	19766850	36						
S_19979530	M206	1	19979530	36.2						
S_20192211	M207	1	20192211	36.4						
S_20404892	M208	1	20404892	36.6						
S_20617572	M209	1	20617572	36.8						
S_20830253	M210	1	20830253	37						
S_21042934	M211	1	21042934	37.2						
S_21255614	M212	1	21255614	37.4						
S_21468295	M213	1	21468295	37.6						
S_21580436	M214	1	21580436	37.8						
S_21692577	M215	1	21692577	38						
S_21804718	M216	1	21804718	38.2						
S_21916860	M217	1	21916860	38.4						
S_22029001	M218	1	22029001	38.6						
S_22141142	M219	1	22141142	38.8						
S_22253283	M220	1	22253283	39						
S_22481737	M221	1	22481737	39.2						
S_22744495	M222	1	22744495	39.4						
S_22987440	M223	1	22987440	39.6						
S_23176587	M224	1	23176587	39.8						
S_23365734	M225	1	23365734	40						
S_23554882	M226	1	23554882	40.2						
S_23744029	M227	1	23744029	40.4						
S_23933176	M228	1	23933176	40.6						
S_24122324	M229	1	24122324	40.8						
S_24311471	M230	1	24311471	41						
S_24500618	M231	1	24500618	41.2						
S_24689765	M232	1	24689765	41.4						
S_24878913	M233	1	24878913	41.6						
S_25068060	M234	1	25068060	41.8						
S_25257207	M235	1	25257207	42						
S_25446355	M236	1	25446355	42.2						
S_25635502	M237	1	25635502	42.4						
S_25824649	M238	1	25824649	42.6						
S_26013797	M239	1	26013797	42.8						
S_26202944	M240	1	26202944	43						
S_26311183	M241	1	26311183	43.2						
S_26419422	M242	1	26419422	43.4						
S_26527661	M243	1	26527661	43.6						
S_26635900	M244	1	26635900	43.8						
S_26744138	M245	1	26744138	44						
S_26852377	M246	1	26852377	44.2						
S_26960616	M247	1	26960616	44.4						
S_27068855	M248	1	27068855	44.6						
S_27177094	M249	1	27177094	44.8						
S_27285333	M250	1	27285333	45						
S_27393572	M251	1	27393572	45.2						
S_27501811	M252	1	27501811	45.4						
S_27610049	M253	1	27610049	45.6						
S_27718288	M254	1	27718288	45.8						
S_27826527	M255	1	27826527	46						
S_27934766	M256	1	27934766	46.2						
S_28043005	M257	1	28043005	46.4						
S_28151244	M258	1	28151244	46.6						
S_28259483	M259	1	28259483	46.8						
S_28367722	M260	1	28367722	47						
S_28516304	M261	1	28516304	47.2						
S_28705230	M262	1	28705230	47.4						
S_28894157	M263	1	28894157	47.6						
S_29083083	M264	1	29083083	47.8						
S_29272009	M265	1	29272009	48						
S_29460935	M266	1	29460935	48.2						
S_29649861	M267	1	29649861	48.4						
S_29838788	M268	1	29838788	48.6						
S_30027714	M269	1	30027714	48.8						
S_30216640	M270	1	30216640	49						
S_30405566	M271	1	30405566	49.2						
S_30594493	M272	1	30594493	49.4						
S_30783419	M273	1	30783419	49.6						
S_30972345	M274	1	30972345	49.8						
S_31161271	M275	1	31161271	50						
S_31350198	M276	1	31350198	50.2						
S_31539124	M277	1	31539124	50.4						
S_31728050	M278	1	31728050	50.6						
S_31916976	M279	1	31916976	50.8						
S_32105902	M280	1	32105902	51						
S_32294829	M281	1	32294829	51.2						
S_32483755	M282	1	32483755	51.4						
S_32653841	M283	1	32653841	51.6						
S_32805087	M284	1	32805087	51.8						
S_32956333	M285	1	32956333	52						
S_33107580	M286	1	33107580	52.2						
S_33258826	M287	1	33258826	52.4						
S_33410072	M288	1	33410072	52.6						
S_33561318	M289	1	33561318	52.8						
S_33712564	M290	1	33712564	53						
S_33863810	M291	1	33863810	53.2						
S_34015057	M292	1	34015057	53.4						
S_34166303	M293	1	34166303	53.6						
S_34673143	M294	1	34673143	53.8						
S_34983260	M295	1	34983260	54						
S_35293378	M296	1	35293378	54.2						
S_35603495	M297	1	35603495	54.4						
S_35913613	M298	1	35913613	54.6						
S_36223730	M299	1	36223730	54.8						
S_36533848	M300	1	36533848	55						
S_36843965	M301	1	36843965	55.2						
S_37154083	M302	1	37154083	55.4						
S_37464200	M303	1	37464200	55.6						
S_37774317	M304	1	37774317	55.8						
S_38084435	M305	1	38084435	56						
S_38394552	M306	1	38394552	56.2						
S_38645297	M307	1	38645297	56.4						
S_38836669	M308	1	38836669	56.6						
S_39028040	M309	1	39028040	56.8						
S_39219412	M310	1	39219412	57						
S_39428843	M311	1	39428843	57.2						
S_39638275	M312	1	39638275	57.4						
S_39847706	M313	1	39847706	57.6						
S_40057138	M314	1	40057138	57.8						
S_40266569	M315	1	40266569	58						
S_40476001	M316	1	40476001	58.2						
S_40685432	M317	1	40685432	58.4						
S_40894864	M318	1	40894864	58.6						
S_41104296	M319	1	41104296	58.8						
S_41674284	M320	1	41674284	59						
S_42244271	M321	1	42244271	59.2						
S_42814259	M322	1	42814259	59.4						
S_43384246	M323	1	43384246	59.6						
S_43744350	M324	1	43744350	59.8						
S_43894571	M325	1	43894571	60						
S_44044791	M326	1	44044791	60.2						
S_44195012	M327	1	44195012	60.4						
S_44373656	M328	1	44373656	60.6						
S_44658596	M329	1	44658596	60.8						
S_44943536	M330	1	44943536	61						
S_45228475	M331	1	45228475	61.2						
S_45513415	M332	1	45513415	61.4						
S_45683866	M333	1	45683866	61.6						
S_45854317	M334	1	45854317	61.8						
S_46039382	M335	1	46039382	62						
S_46290752	M336	1	46290752	62.2						
S_46595208	M337	1	46595208	62.4						
S_46899663	M338	1	46899663	62.6						
S_47204119	M339	1	47204119	62.8						
S_47508575	M340	1	47508575	63						
S_47813030	M341	1	47813030	63.2						
S_48117486	M342	1	48117486	63.4						
S_48421942	M343	1	48421942	63.6						
S_48726397	M344	1	48726397	63.8						
S_49030853	M345	1	49030853	64						
S_49335309	M346	1	49335309	64.2						
S_49639764	M347	1	49639764	64.4						
S_49944220	M348	1	49944220	64.6						
S_50245860	M349	1	50245860	64.8						
S_50544684	M350	1	50544684	65						
S_50843507	M351	1	50843507	65.2						
S_51142331	M352	1	51142331	65.4						
S_51327581	M353	1	51327581	65.6						
S_51399258	M354	1	51399258	65.8						
S_51563636	M355	1	51563636	66						
S_51728013	M356	1	51728013	66.2						
S_51892391	M357	1	51892391	66.4						
S_52056768	M358	1	52056768	66.6						
S_52221146	M359	1	52221146	66.8						
S_52385524	M360	1	52385524	67						
S_52549901	M361	1	52549901	67.2						
S_52714279	M362	1	52714279	67.4						
S_52878657	M363	1	52878657	67.6						
S_53043034	M364	1	53043034	67.8						
S_53207412	M365	1	53207412	68						
S_53371789	M366	1	53371789	68.2						
S_53536167	M367	1	53536167	68.4						
S_53700545	M368	1	53700545	68.6						
S_53864922	M369	1	53864922	68.8						
S_54321820	M370	1	54321820	69						
S_55071238	M371	1	55071238	69.2						
S_56076331	M372	1	56076331	69.4						
S_56268023	M373	1	56268023	69.6						
S_56459715	M374	1	56459715	69.8						
S_56651407	M375	1	56651407	70						
S_56947226	M376	1	56947226	70.2						
S_57347172	M377	1	57347172	70.4						
S_57747118	M378	1	57747118	70.6						
S_58147064	M379	1	58147064	70.8						
S_58547011	M380	1	58547011	71						
S_58946957	M381	1	58946957	71.2						
S_59346903	M382	1	59346903	71.4						
S_59746849	M383	1	59746849	71.6						
S_60165124	M384	1	60165124	71.8						
S_60556302	M385	1	60556302	72						
S_60947481	M386	1	60947481	72.2						
S_61486673	M387	1	61486673	72.4						
S_62173878	M388	1	62173878	72.6						
S_62861084	M389	1	62861084	72.8						
S_63548289	M390	1	63548289	73						
S_64482870	M391	1	64482870	73.2						
S_64969651	M392	1	64969651	73.4						
S_65456432	M393	1	65456432	73.6						
S_65943213	M394	1	65943213	73.8						
S_66429994	M395	1	66429994	74						
S_66916775	M396	1	66916775	74.2						
S_67403556	M397	1	67403556	74.4						
S_67831480	M398	1	67831480	74.6						
S_68200547	M399	1	68200547	74.8						
S_68569614	M400	1	68569614	75						
S_68938681	M401	1	68938681	75.2						
S_69307748	M402	1	69307748	75.4						
S_69676815	M403	1	69676815	75.6						
S_70045882	M404	1	70045882	75.8						
S_70414949	M405	1	70414949	76						
S_70784016	M406	1	70784016	76.2						
S_71153083	M407	1	71153083	76.4						
S_71522150	M408	1	71522150	76.6						
S_71891217	M409	1	71891217	76.8						
S_72260284	M410	1	72260284	77						
S_72629352	M411	1	72629352	77.2						
S_72998419	M412	1	72998419	77.4						
S_73367486	M413	1	73367486	77.6						
S_73736553	M414	1	73736553	77.8						
S_74105620	M415	1	74105620	78						
S_74474687	M416	1	74474687	78.2						
S_74843754	M417	1	74843754	78.4						
S_75212821	M418	1	75212821	78.6						
S_75581888	M419	1	75581888	78.8						
S_75950955	M420	1	75950955	79						
S_76320022	M421	1	76320022	79.2						
S_76689089	M422	1	76689089	79.4						
S_77058156	M423	1	77058156	79.6						
S_77561162	M424	1	77561162	79.8						
S_78198107	M425	1	78198107	80						
S_78835052	M426	1	78835052	80.2						
S_79471996	M427	1	79471996	80.4						
S_80108941	M428	1	80108941	80.6						
S_80745886	M429	1	80745886	80.8						
S_81382830	M430	1	81382830	81						
S_82019775	M431	1	82019775	81.2						
S_82371965	M432	1	82371965	81.4						
S_82724155	M433	1	82724155	81.6						
S_83076345	M434	1	83076345	81.8						
S_83428535	M435	1	83428535	82						
S_83780725	M436	1	83780725	82.2						
S_84195403	M437	1	84195403	82.4						
S_84610081	M438	1	84610081	82.6						
S_85024759	M439	1	85024759	82.8						
S_85439437	M440	1	85439437	83						
S_85854115	M441	1	85854115	83.2						
S_86268793	M442	1	86268793	83.4						
S_86683471	M443	1	86683471	83.6						
S_87098149	M444	1	87098149	83.8						
S_87512827	M445	1	87512827	84						
S_87927505	M446	1	87927505	84.2						
S_88342183	M447	1	88342183	84.4						
S_88680250	M448	1	88680250	84.6						
S_89287852	M449	1	89287852	84.8						
S_89865513	M450	1	89865513	85						
S_90443174	M451	1	90443174	85.2						
S_91020835	M452	1	91020835	85.4						
S_91598496	M453	1	91598496	85.6						
S_92176157	M454	1	92176157	85.8						
S_92753818	M455	1	92753818	86						
S_93331479	M456	1	93331479	86.2						
S_93909140	M457	1	93909140	86.4						
S_94986039	M458	1	94986039	86.6						
S_96062938	M459	1	96062938	86.8						
S_97139837	M460	1	97139837	87						
S_98495930	M461	1	98495930	87.2						
S_100131217	M462	1	100131217	87.4						
S_101766503	M463	1	101766503	87.6						
S_103241856	M464	1	103241856	87.8						
S_104557078	M465	1	104557078	88						
S_105872301	M466	1	105872301	88.2						
S_107365735	M467	1	107365735	88.4						
S_110582929	M468	1	110582929	88.6						
S_113800123	M469	1	113800123	88.8						
S_117801682	M470	1	117801682	89						
S_129615789	M471	1	129615789	89.2						
S_148458078	M472	1	148458078	89.4						
S_149357300	M473	1	149357300	89.6						
S_150816131	M474	1	150816131	89.8						
S_152274963	M475	1	152274963	90						
S_153733794	M476	1	153733794	90.2						
S_155192626	M477	1	155192626	90.4						
S_156651457	M478	1	156651457	90.6						
S_158110289	M479	1	158110289	90.8						
S_159569120	M480	1	159569120	91						
S_161027952	M481	1	161027952	91.2						
S_162922240	M482	1	162922240	91.4						
S_164816528	M483	1	164816528	91.6						
S_166710816	M484	1	166710816	91.8						
S_167326815	M485	1	167326815	92						
S_167942814	M486	1	167942814	92.2						
S_168558813	M487	1	168558813	92.4						
S_169174812	M488	1	169174812	92.6						
S_169790811	M489	1	169790811	92.8						
S_170406810	M490	1	170406810	93						
S_171022809	M491	1	171022809	93.2						
S_171638808	M492	1	171638808	93.4						
S_172254807	M493	1	172254807	93.6						
S_172870806	M494	1	172870806	93.8						
S_173486805	M495	1	173486805	94						
S_174102804	M496	1	174102804	94.2						
S_174718803	M497	1	174718803	94.4						
S_175334802	M498	1	175334802	94.6						
S_175914447	M499	1	175914447	94.8						
S_176457738	M500	1	176457738	95						
S_177001029	M501	1	177001029	95.2						
S_177544320	M502	1	177544320	95.4						
S_178087611	M503	1	178087611	95.6						
S_178630902	M504	1	178630902	95.8						
S_179174193	M505	1	179174193	96						
S_179717484	M506	1	179717484	96.2						
S_180201602	M507	1	180201602	96.4						
S_180626549	M508	1	180626549	96.6						
S_181051496	M509	1	181051496	96.8						
S_181476442	M510	1	181476442	97						
S_181901389	M511	1	181901389	97.2						
S_182326336	M512	1	182326336	97.4						
S_182719270	M513	1	182719270	97.6						
S_183080192	M514	1	183080192	97.8						
S_183441114	M515	1	183441114	98						
S_183802036	M516	1	183802036	98.2						
S_183848048	M517	1	183848048	98.4						
S_183894059	M518	1	183894059	98.6						
S_183940071	M519	1	183940071	98.8						
S_183986082	M520	1	183986082	99						
S_184367770	M521	1	184367770	99.2						
S_184616441	M522	1	184616441	99.4						
S_184865113	M523	1	184865113	99.6						
S_185113784	M524	1	185113784	99.8						
S_185362456	M525	1	185362456	100						
S_185611128	M526	1	185611128	100.2						
S_185859799	M527	1	185859799	100.4						
S_186108471	M528	1	186108471	100.6						
S_186357142	M529	1	186357142	100.8						
S_186605814	M530	1	186605814	101						
S_186854485	M531	1	186854485	101.2						
S_187103157	M532	1	187103157	101.4						
S_187351829	M533	1	187351829	101.6						
S_187600500	M534	1	187600500	101.8						
S_187849172	M535	1	187849172	102						
S_188097843	M536	1	188097843	102.2						
S_188346515	M537	1	188346515	102.4						
S_188595186	M538	1	188595186	102.6						
S_188843858	M539	1	188843858	102.8						
S_189092529	M540	1	189092529	103						
S_189341201	M541	1	189341201	103.2						
S_189589873	M542	1	189589873	103.4						
S_189838544	M543	1	189838544	103.6						
S_190087216	M544	1	190087216	103.8						
S_190335887	M545	1	190335887	104						
S_190584559	M546	1	190584559	104.2						
S_190833230	M547	1	190833230	104.4						
S_191081902	M548	1	191081902	104.6						
S_191330573	M549	1	191330573	104.8						
S_191579245	M550	1	191579245	105						
S_191827917	M551	1	191827917	105.2						
S_192076588	M552	1	192076588	105.4						
S_192325260	M553	1	192325260	105.6						
S_192573931	M554	1	192573931	105.8						
S_192822603	M555	1	192822603	106						
S_193071274	M556	1	193071274	106.2						
S_193319946	M557	1	193319946	106.4						
S_193568618	M558	1	193568618	106.6						
S_193817289	M559	1	193817289	106.8						
S_194065961	M560	1	194065961	107						
S_194314632	M561	1	194314632	107.2						
S_194563304	M562	1	194563304	107.4						
S_194811975	M563	1	194811975	107.6						
S_195060647	M564	1	195060647	107.8						
S_195309318	M565	1	195309318	108						
S_195557990	M566	1	195557990	108.2						
S_195760211	M567	1	195760211	108.4						
S_195962433	M568	1	195962433	108.6						
S_196164654	M569	1	196164654	108.8						
S_196366875	M570	1	196366875	109						
S_196569097	M571	1	196569097	109.2						
S_196771318	M572	1	196771318	109.4						
S_196973539	M573	1	196973539	109.6						
S_197161167	M574	1	197161167	109.8						
S_197334200	M575	1	197334200	110						
S_197507233	M576	1	197507233	110.2						
S_197680266	M577	1	197680266	110.4						
S_197853299	M578	1	197853299	110.6						
S_198026332	M579	1	198026332	110.8						
S_198199365	M580	1	198199365	111						
S_198372398	M581	1	198372398	111.2						
S_198545431	M582	1	198545431	111.4						
S_198718464	M583	1	198718464	111.6						
S_198891498	M584	1	198891498	111.8						
S_199064531	M585	1	199064531	112						
S_199237564	M586	1	199237564	112.2						
S_199410597	M587	1	199410597	112.4						
S_199583630	M588	1	199583630	112.6						
S_199756663	M589	1	199756663	112.8						
S_199929696	M590	1	199929696	113						
S_200102729	M591	1	200102729	113.2						
S_200275762	M592	1	200275762	113.4						
S_200448795	M593	1	200448795	113.6						
S_200621829	M594	1	200621829	113.8						
S_200794862	M595	1	200794862	114						
S_200967895	M596	1	200967895	114.2						
S_201140928	M597	1	201140928	114.4						
S_201313961	M598	1	201313961	114.6						
S_201486994	M599	1	201486994	114.8						
S_201837133	M600	1	201837133	115						
S_202187271	M601	1	202187271	115.2						
S_202537410	M602	1	202537410	115.4						
S_202887549	M603	1	202887549	115.6						
S_203237687	M604	1	203237687	115.8						
S_203587826	M605	1	203587826	116						
S_204259694	M606	1	204259694	116.2						
S_204862743	M607	1	204862743	116.4						
S_205071965	M608	1	205071965	116.6						
S_205281187	M609	1	205281187	116.8						
S_205490408	M610	1	205490408	117						
S_205699630	M611	1	205699630	117.2						
S_205908852	M612	1	205908852	117.4						
S_206118074	M613	1	206118074	117.6						
S_206327296	M614	1	206327296	117.8						
S_206536518	M615	1	206536518	118						
S_206745740	M616	1	206745740	118.2						
S_206954961	M617	1	206954961	118.4						
S_207164183	M618	1	207164183	118.6						
S_207373405	M619	1	207373405	118.8						
S_207582627	M620	1	207582627	119						
S_207791849	M621	1	207791849	119.2						
S_208001071	M622	1	208001071	119.4						
S_208210292	M623	1	208210292	119.6						
S_208419514	M624	1	208419514	119.8						
S_208628736	M625	1	208628736	120						
S_208854241	M626	1	208854241	120.2						
S_209096029	M627	1	209096029	120.4						
S_209337816	M628	1	209337816	120.6						
S_209579604	M629	1	209579604	120.8						
S_209821392	M630	1	209821392	121						
S_210063180	M631	1	210063180	121.2						
S_210304967	M632	1	210304967	121.4						
S_210546755	M633	1	210546755	121.6						
S_210788543	M634	1	210788543	121.8						
S_211030331	M635	1	211030331	122						
S_211272119	M636	1	211272119	122.2						
S_211513906	M637	1	211513906	122.4						
S_211755694	M638	1	211755694	122.6						
S_211997482	M639	1	211997482	122.8						
S_212239270	M640	1	212239270	123						
S_212481057	M641	1	212481057	123.2						
S_212722845	M642	1	212722845	123.4						
S_212991310	M643	1	212991310	123.6						
S_213071820	M644	1	213071820	123.8						
S_213152330	M645	1	213152330	124						
S_213409743	M646	1	213409743	124.2						
S_213667155	M647	1	213667155	124.4						
S_213924567	M648	1	213924567	124.6						
S_214181980	M649	1	214181980	124.8						
S_214439392	M650	1	214439392	125						
S_214696804	M651	1	214696804	125.2						
S_214954217	M652	1	214954217	125.4						
S_215211629	M653	1	215211629	125.6						
S_215468843	M654	1	215468843	125.8						
S_215725860	M655	1	215725860	126						
S_215982877	M656	1	215982877	126.2						
S_216239894	M657	1	216239894	126.4						
S_216496911	M658	1	216496911	126.6						
S_216753928	M659	1	216753928	126.8						
S_217010945	M660	1	217010945	127						
S_217267962	M661	1	217267962	127.2						
S_217587466	M662	1	217587466	127.4						
S_218082692	M663	1	218082692	127.6						
S_218577918	M664	1	218577918	127.8						
S_219073144	M665	1	219073144	128						
S_219568370	M666	1	219568370	128.2						
S_220063596	M667	1	220063596	128.4						
S_220558821	M668	1	220558821	128.6						
S_221054047	M669	1	221054047	128.8						
S_221549273	M670	1	221549273	129						
S_222044499	M671	1	222044499	129.2						
S_222539725	M672	1	222539725	129.4						
S_223034952	M673	1	223034952	129.6						
S_223150924	M674	1	223150924	129.8						
S_223266896	M675	1	223266896	130						
S_223382869	M676	1	223382869	130.2						
S_223498841	M677	1	223498841	130.4						
S_223614813	M678	1	223614813	130.6						
S_223730785	M679	1	223730785	130.8						
S_223846758	M680	1	223846758	131						
S_223962730	M681	1	223962730	131.2						
S_224078702	M682	1	224078702	131.4						
S_224240537	M683	1	224240537	131.6						
S_224402372	M684	1	224402372	131.8						
S_224564208	M685	1	224564208	132						
S_224726043	M686	1	224726043	132.2						
S_224887878	M687	1	224887878	132.4						
S_225049713	M688	1	225049713	132.6						
S_225340318	M689	1	225340318	132.8						
S_225759692	M690	1	225759692	133						
S_226179067	M691	1	226179067	133.2						
S_226598441	M692	1	226598441	133.4						
S_227017815	M693	1	227017815	133.6						
S_227437190	M694	1	227437190	133.8						
S_227653719	M695	1	227653719	134						
S_227870248	M696	1	227870248	134.2						
S_228086777	M697	1	228086777	134.4						
S_228254601	M698	1	228254601	134.6						
S_228408957	M699	1	228408957	134.8						
S_228563313	M700	1	228563313	135						
S_228824796	M701	1	228824796	135.2						
S_229086279	M702	1	229086279	135.4						
S_229347761	M703	1	229347761	135.6						
S_229609244	M704	1	229609244	135.8						
S_229870727	M705	1	229870727	136						
S_230132210	M706	1	230132210	136.2						
S_230393692	M707	1	230393692	136.4						
S_230655175	M708	1	230655175	136.6						
S_230916658	M709	1	230916658	136.8						
S_231178141	M710	1	231178141	137						
S_231439623	M711	1	231439623	137.2						
